age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,salary
68,State-gov,1380455,Masters,14,Widowed,Exec-managerial,Own-child,White,Female,0,0,29,United-States,77992.05
46,Private,75725,Preschool,1,Separated,Exec-managerial,Wife,White,Male,0,182,40,United-States,35721.55
78,Self-emp-inc,708361,11th,7,Separated,Handlers-cleaners,Not-in-family,White,Female,285,0,33,United-States,17005.5
25,Private,218261,Some-college,10,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,35,United-States,15000.0
70,Private,33247,Assoc-acdm,12,Widowed,Craft-repair,Own-child,White,Male,21,19,48,United-States,65912.64
69,Private,23986,7th-8th,4,Separated,Priv-house-serv,Not-in-family,White,Female,168,0,31,United-States,15000.0
51,Self-emp-not-inc,499570,Prof-school,15,Divorced,Handlers-cleaners,Own-child,White,Female,0,0,29,United-States,44787.13
60,Private,228969,Masters,14,Never-married,Tech-support,Husband,White,Male,0,62,28,United-States,74667.69
58,Private,1383343,11th,7,Married-AF-spouse,Handlers-cleaners,Wife,White,Male,0,0,43,United-States,19241.33
87,Private,552335,Assoc-acdm,12,Separated,Craft-repair,Own-child,White,Female,0,0,22,United-States,24667.27
78,Private,924091,7th-8th,4,Never-married,Armed-Forces,Wife,White,Female,0,0,41,United-States,21956.9
40,State-gov,1151840,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Male,0,0,39,Laos,51449.94
75,Private,1129043,Some-college,10,Separated,Prof-specialty,Other-relative,White,Female,0,0,39,United-States,51379.09
71,Self-emp-not-inc,61663,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,46,United-States,144045.14
19,Private,835816,Masters,14,Separated,Other-service,Own-child,White,Female,0,0,45,United-States,25346.99
66,State-gov,1251082,Doctorate,16,Divorced,Other-service,Not-in-family,White,Male,227,0,20,United-States,36896.39
25,Private,143272,11th,7,Never-married,Sales,Unmarried,White,Male,0,0,50,United-States,45496.6
34,Private,138391,Some-college,10,Divorced,Prof-specialty,Husband,White,Female,0,0,39,United-States,46623.45
23,Self-emp-not-inc,1351466,Preschool,1,Married-civ-spouse,Priv-house-serv,Husband,White,Female,0,0,43,United-States,15000.0
37,Private,1364204,1st-4th,2,Married-AF-spouse,Tech-support,Other-relative,White,Male,0,0,40,United-States,28848.48
62,Local-gov,128015,11th,7,Separated,Adm-clerical,Other-relative,Other,Female,36,0,44,United-States,26819.09
83,Private,1033904,7th-8th,4,Divorced,Prof-specialty,Own-child,Other,Male,0,0,40,United-States,38262.37
25,Self-emp-not-inc,611863,Preschool,1,Married-AF-spouse,Protective-serv,Own-child,White,Female,98,0,31,United-States,15000.0
32,Private,237897,11th,7,Married-AF-spouse,Priv-house-serv,Own-child,White,Female,0,0,29,United-States,15000.0
65,Private,1270386,Assoc-acdm,12,Married-AF-spouse,Prof-specialty,Husband,White,Female,0,0,54,United-States,91541.8
71,Private,193062,Preschool,1,Widowed,Craft-repair,Not-in-family,White,Female,2,0,34,United-States,15000.0
25,Private,456438,Bachelors,13,Divorced,Farming-fishing,Wife,White,Male,0,0,51,United-States,58176.91
80,Private,88781,Assoc-acdm,12,Widowed,Handlers-cleaners,Husband,White,Male,9,0,35,United-States,25324.49
85,Private,1362695,12th,8,Divorced,Exec-managerial,Not-in-family,White,Male,270,0,36,United-States,57118.06
85,Private,897474,Preschool,1,Married-AF-spouse,Craft-repair,Wife,Asian-Pac-Islander,Male,0,0,17,Poland,15000.0
59,State-gov,1396073,11th,7,Married-civ-spouse,Tech-support,Own-child,White,Female,38,0,43,United-States,36666.4
50,Private,553176,Assoc-voc,11,Separated,Farming-fishing,Other-relative,White,Female,0,0,49,United-States,52296.78
40,Self-emp-inc,908320,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,58,United-States,105425.83
78,Private,15486,7th-8th,4,Married-spouse-absent,Protective-serv,Husband,White,Male,0,0,43,United-States,33103.5
32,Private,1409181,11th,7,Separated,Adm-clerical,Not-in-family,White,Male,0,0,35,Vietnam,21299.36
21,Self-emp-not-inc,365249,10th,6,Never-married,Transport-moving,Own-child,Black,Female,120,0,30,United-States,15000.0
43,Self-emp-not-inc,527923,Prof-school,15,Widowed,Exec-managerial,Unmarried,Black,Male,0,0,36,United-States,171309.27
86,Self-emp-not-inc,721131,11th,7,Widowed,Priv-house-serv,Unmarried,White,Male,63,0,39,Puerto-Rico,15057.93
88,Private,663983,7th-8th,4,Married-AF-spouse,Tech-support,Husband,White,Male,0,0,29,United-States,25981.9
61,Private,980240,Prof-school,15,Married-spouse-absent,Exec-managerial,Husband,Other,Male,0,0,40,United-States,176366.37
70,Private,1382249,Preschool,1,Married-AF-spouse,Adm-clerical,Husband,White,Male,0,0,29,United-States,15000.0
24,Private,132402,Some-college,10,Separated,Priv-house-serv,Other-relative,Black,Male,0,0,60,United-States,19907.31
22,State-gov,295977,Preschool,1,Widowed,Adm-clerical,Own-child,White,Male,0,0,54,United-States,15000.0
79,Private,894574,Masters,14,Never-married,Tech-support,Other-relative,White,Female,0,0,38,United-States,79498.94
21,Never-worked,853523,Prof-school,15,Married-AF-spouse,Exec-managerial,Other-relative,Black,Male,0,0,31,United-States,81164.53
78,Local-gov,820717,9th,5,Divorced,Priv-house-serv,Own-child,White,Male,0,0,54,United-States,20794.46
73,Private,672301,5th-6th,3,Married-AF-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,42,United-States,16673.89
67,Local-gov,1275040,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,62,United-States,94165.53
90,Self-emp-not-inc,1270367,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Female,0,0,18,United-States,16532.35
32,Private,1169771,9th,5,Separated,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,20570.04
58,Private,819006,Prof-school,15,Married-spouse-absent,Tech-support,Other-relative,White,Male,0,0,35,United-States,101224.09
72,Local-gov,399593,5th-6th,3,Widowed,Tech-support,Own-child,Asian-Pac-Islander,Male,0,0,33,United-States,24491.09
44,Private,623157,9th,5,Divorced,Protective-serv,Own-child,White,Male,0,100,50,United-States,46899.43
31,Private,541849,Assoc-voc,11,Widowed,Priv-house-serv,Own-child,White,Female,0,0,30,United-States,15000.0
83,Private,582735,Some-college,10,Married-AF-spouse,Sales,Unmarried,White,Male,0,0,15,United-States,21042.0
75,Private,872557,10th,6,Married-spouse-absent,Exec-managerial,Wife,White,Male,0,0,37,United-States,38571.64
40,Local-gov,1040117,Assoc-voc,11,Never-married,Other-service,Other-relative,Black,Female,369,0,49,United-States,38826.36
67,Self-emp-inc,874909,Some-college,10,Married-AF-spouse,Transport-moving,Own-child,White,Male,0,0,47,United-States,46300.38
80,Private,15287,Doctorate,16,Never-married,Sales,Other-relative,White,Female,0,0,64,United-States,128172.13
18,Private,796667,5th-6th,3,Widowed,Adm-clerical,Wife,White,Female,0,0,18,United-States,15000.0
66,Private,883172,9th,5,Never-married,Adm-clerical,Own-child,White,Female,0,0,46,China,26165.81
53,Self-emp-inc,345484,Masters,14,Married-spouse-absent,Farming-fishing,Unmarried,White,Female,0,0,33,United-States,61997.24
54,Private,1282386,5th-6th,3,Married-AF-spouse,Tech-support,Wife,White,Female,0,0,50,United-States,42235.97
23,Self-emp-not-inc,855633,12th,8,Separated,Protective-serv,Wife,White,Female,0,0,51,United-States,30208.46
26,Private,1072958,12th,8,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,0,36,United-States,31055.61
84,Self-emp-not-inc,1113894,Some-college,10,Never-married,Other-service,Husband,White,Male,0,0,27,United-States,19979.8
63,Private,900695,Masters,14,Separated,Farming-fishing,Other-relative,White,Male,0,0,41,United-States,65303.83
47,Private,389862,Assoc-acdm,12,Never-married,Protective-serv,Unmarried,Other,Male,0,0,36,Germany,62717.46
73,Private,673937,Assoc-acdm,12,Married-AF-spouse,Other-service,Other-relative,White,Female,0,0,27,United-States,17236.89
23,Private,393152,Some-college,10,Never-married,Tech-support,Husband,White,Female,0,0,39,United-States,28057.61
45,Private,1048896,Assoc-acdm,12,Divorced,Priv-house-serv,Own-child,White,Female,0,0,67,Guatemala,40222.51
87,Private,230178,10th,6,Married-spouse-absent,Handlers-cleaners,Husband,White,Female,0,0,67,United-States,25365.42
34,Private,1361526,11th,7,Married-AF-spouse,Craft-repair,Own-child,White,Female,0,0,25,United-States,15449.04
19,Private,597518,12th,8,Never-married,Armed-Forces,Own-child,White,Female,0,0,54,Nicaragua,21551.91
88,Private,621213,5th-6th,3,Widowed,Other-service,Husband,White,Female,0,0,54,United-States,20088.3
71,Local-gov,1081812,Assoc-voc,11,Divorced,Handlers-cleaners,Wife,White,Female,0,0,43,United-States,29201.47
36,Private,1315289,5th-6th,3,Divorced,Other-service,Not-in-family,White,Female,0,0,15,United-States,15000.0
46,Private,1372413,Doctorate,16,Married-AF-spouse,Tech-support,Own-child,White,Male,0,0,30,United-States,147075.35
20,Private,583044,10th,6,Widowed,Craft-repair,Other-relative,White,Male,51,0,39,United-States,23981.41
43,Local-gov,701757,Assoc-acdm,12,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,54,United-States,63116.98
80,Private,1069622,Assoc-acdm,12,Never-married,Tech-support,Husband,White,Female,0,0,21,United-States,27716.83
70,Private,1124593,5th-6th,3,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,68,0,47,United-States,37725.73
89,Self-emp-not-inc,750829,Prof-school,15,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,21,United-States,35984.17
28,Private,1201902,1st-4th,2,Never-married,Transport-moving,Wife,White,Male,0,0,29,United-States,15000.0
37,Self-emp-not-inc,352703,Prof-school,15,Married-spouse-absent,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,119,0,49,United-States,203461.86
88,Without-pay,144055,Assoc-voc,11,Widowed,Craft-repair,Unmarried,White,Female,0,0,23,United-States,25867.2
71,Private,133618,Assoc-voc,11,Married-AF-spouse,Machine-op-inspct,Wife,White,Male,0,0,50,United-States,59384.51
58,Never-worked,619719,Masters,14,Married-AF-spouse,Protective-serv,Other-relative,White,Male,0,0,33,United-States,80761.07
26,Private,443816,5th-6th,3,Married-AF-spouse,Sales,Other-relative,White,Female,0,0,23,United-States,15000.0
64,Private,509722,Doctorate,16,Married-AF-spouse,Adm-clerical,Wife,White,Male,0,0,38,United-States,78441.25
78,Private,486072,7th-8th,4,Married-AF-spouse,Sales,Not-in-family,White,Male,0,24,47,United-States,34790.41
19,Self-emp-inc,384999,Prof-school,15,Widowed,Prof-specialty,Wife,White,Male,0,0,35,Peru,77849.11
19,Self-emp-inc,501036,Assoc-acdm,12,Widowed,Machine-op-inspct,Other-relative,White,Female,0,0,38,United-States,29647.15
25,Private,1193620,Some-college,10,Separated,Farming-fishing,Wife,White,Female,0,0,37,United-States,21161.9
64,Private,666951,Assoc-acdm,12,Widowed,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,0,0,1,United-States,15000.0
56,Private,894056,Masters,14,Widowed,Protective-serv,Wife,Asian-Pac-Islander,Female,0,0,32,United-States,55577.65
69,Private,52534,5th-6th,3,Never-married,Prof-specialty,Not-in-family,White,Female,171,0,52,Laos,41543.05
47,Private,940491,Some-college,10,Married-spouse-absent,Protective-serv,Other-relative,White,Male,0,0,42,United-States,66852.76
80,Private,941011,11th,7,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,54,Ecuador,22391.62
36,Private,559148,Some-college,10,Separated,Transport-moving,Wife,White,Female,205,0,54,United-States,45380.85
52,Private,623474,HS-grad,9,Widowed,Priv-house-serv,Other-relative,White,Male,17,0,33,United-States,21930.38
29,Federal-gov,778747,5th-6th,3,Married-AF-spouse,Protective-serv,Other-relative,White,Male,0,0,53,United-States,34094.22
72,Private,929484,Prof-school,15,Married-AF-spouse,Exec-managerial,Husband,Black,Female,0,0,39,United-States,142618.02
51,Private,966331,7th-8th,4,Separated,Craft-repair,Not-in-family,White,Male,0,79,38,United-States,30071.46
69,Local-gov,787147,12th,8,Never-married,Sales,Unmarried,White,Male,0,0,44,United-States,39650.76
79,Private,691503,Prof-school,15,Widowed,Craft-repair,Husband,Black,Female,0,0,37,United-States,73800.06
27,Private,1356208,Bachelors,13,Separated,Prof-specialty,Wife,White,Male,0,0,36,United-States,73247.03
90,Self-emp-not-inc,1271553,Some-college,10,Separated,Tech-support,Own-child,White,Female,0,0,27,United-States,32620.88
31,Private,953187,Assoc-voc,11,Separated,Tech-support,Husband,White,Female,0,0,61,United-States,70488.92
78,Private,383706,5th-6th,3,Married-AF-spouse,Transport-moving,Not-in-family,White,Male,0,0,64,United-States,34412.76
28,Private,1227060,10th,6,Married-civ-spouse,Protective-serv,Husband,White,Female,0,8,46,United-States,29655.64
72,Without-pay,142028,11th,7,Separated,Farming-fishing,Husband,White,Female,0,0,45,United-States,23497.89
40,Private,299102,HS-grad,9,Separated,Priv-house-serv,Unmarried,Black,Male,50,0,71,United-States,39695.63
50,Self-emp-inc,29975,Assoc-voc,11,Divorced,Other-service,Husband,White,Female,0,0,57,United-States,57893.37
58,Private,111459,Doctorate,16,Divorced,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,0,37,United-States,45335.65
18,Private,767038,Bachelors,13,Never-married,Adm-clerical,Wife,White,Female,0,0,53,United-States,37674.09
47,Private,223567,11th,7,Married-spouse-absent,Armed-Forces,Own-child,White,Male,0,0,21,United-States,21482.9
44,Private,44707,Prof-school,15,Married-AF-spouse,Exec-managerial,Not-in-family,White,Female,0,0,53,United-States,201673.09
18,Private,1307076,Prof-school,15,Separated,Farming-fishing,Other-relative,White,Female,0,8,37,United-States,41395.45
59,Private,400479,7th-8th,4,Divorced,Protective-serv,Wife,White,Male,0,18,65,United-States,49974.13
66,Private,1205225,Assoc-voc,11,Divorced,Exec-managerial,Wife,White,Female,0,0,37,United-States,67481.04
59,Private,843487,Some-college,10,Divorced,Tech-support,Own-child,Asian-Pac-Islander,Male,0,0,42,United-States,59830.37
30,Private,652804,Prof-school,15,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,0,49,United-States,74100.96
47,Self-emp-not-inc,649430,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,0,0,49,United-States,63119.33
31,Private,297681,12th,8,Married-AF-spouse,Exec-managerial,Husband,White,Female,88,0,14,United-States,17609.43
62,Private,430182,Prof-school,15,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,20,United-States,39941.4
86,Self-emp-not-inc,906782,1st-4th,2,Never-married,Transport-moving,Other-relative,White,Female,0,0,49,United-States,21196.48
84,State-gov,1173369,Assoc-acdm,12,Never-married,Craft-repair,Unmarried,White,Male,0,0,46,United-States,63384.5
52,Self-emp-not-inc,739532,Some-college,10,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,28,United-States,46807.04
58,Local-gov,531998,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Male,0,0,42,United-States,76406.09
26,Private,244386,7th-8th,4,Widowed,Farming-fishing,Wife,White,Female,0,0,48,United-States,19200.05
52,Private,574678,Assoc-voc,11,Divorced,Exec-managerial,Wife,White,Male,0,0,24,United-States,63908.78
48,Private,1352630,7th-8th,4,Married-spouse-absent,Protective-serv,Other-relative,White,Female,0,0,44,El-Salvador,33648.79
57,Private,565655,Assoc-voc,11,Separated,Armed-Forces,Husband,White,Male,224,0,35,United-States,43422.25
86,Private,503948,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Female,0,0,23,United-States,26186.67
74,Private,1040596,Assoc-acdm,12,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,16,Hong,15000.0
47,Self-emp-not-inc,39301,Assoc-voc,11,Divorced,Armed-Forces,Unmarried,White,Male,0,0,11,United-States,16459.97
21,Self-emp-not-inc,1254709,9th,5,Separated,Tech-support,Wife,White,Male,0,0,42,United-States,25947.34
30,Private,46035,Assoc-voc,11,Divorced,Protective-serv,Own-child,White,Male,0,0,17,Philippines,20319.83
71,Private,1103609,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,50,United-States,78023.49
46,Self-emp-not-inc,497689,11th,7,Married-AF-spouse,Sales,Unmarried,White,Female,0,0,34,United-States,31641.25
41,Private,1260956,10th,6,Married-spouse-absent,Tech-support,Not-in-family,White,Female,0,0,32,United-States,31415.34
24,Private,874645,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,47,United-States,34082.36
48,Private,916295,Doctorate,16,Divorced,Priv-house-serv,Husband,White,Female,0,0,31,United-States,44187.02
89,Private,33312,7th-8th,4,Never-married,Exec-managerial,Wife,White,Male,0,0,35,United-States,42715.75
68,Private,565462,HS-grad,9,Separated,Prof-specialty,Own-child,White,Male,0,0,24,United-States,40435.03
21,Private,1380073,Some-college,10,Married-spouse-absent,Transport-moving,Other-relative,White,Female,0,0,28,United-States,18002.96
69,Self-emp-inc,607218,10th,6,Separated,Tech-support,Husband,White,Female,0,0,25,United-States,21429.37
68,Federal-gov,230169,12th,8,Widowed,Farming-fishing,Other-relative,White,Male,0,0,53,United-States,31765.26
74,Private,564399,9th,5,Widowed,Priv-house-serv,Husband,White,Male,73,0,55,United-States,24407.0
